Rk,Player,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Date_Time,Random_Number
658,Viktor Tsyhankov,Dynamo Kyiv,2,8,6,75.0,1.7,1.28,0.13,0.17,13.6,1,1,1,3.0,2.2,0.28,-1.0,-1.2,2020-04-20 09:38:36,56
659,Axel Tuanzebe,Manchester Utd,0,1,0,0.0,0.44,0.0,0.0,,10.0,0,0,0,0.0,0.0,0.03,0.0,0.0,2020-02-19 21:04:28,56
660,Deniz Turuc,Ba?ak?ehir ,1,6,3,50.0,1.03,0.52,0.17,0.33,18.7,3,0,0,0.5,0.5,0.08,0.5,0.5,2020-02-11 01:29:10,17
661,Andreas Ulmer,RB Salzburg,0,9,3,33.3,1.5,0.5,0.0,0.0,20.2,0,0,0,0.3,0.3,0.03,-0.3,-0.3,2020-07-19 07:16:15,72
662,Samuel Umtiti,Barcelona ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-11-29 12:56:08,98
663,Dayot Upamecano,RB Leipzig,0,4,2,50.0,0.85,0.42,0.0,0.0,15.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2020-04-05 03:05:17,25
664,Mateus Uribe,Porto ,1,3,1,33.3,0.7,0.23,0.33,1.0,16.7,0,0,0,0.3,0.3,0.1,0.7,0.7,2020-04-15 20:46:39,4
665,Daniil Utkin,Krasnodar ,0,7,2,28.6,2.81,0.8,0.0,0.0,20.7,2,0,0,0.4,0.4,0.06,-0.4,-0.4,2020-08-07 05:10:36,16
666,Myrto Uzuni,Ferencváros ,1,2,2,100.0,0.74,0.74,0.5,0.5,12.1,0,0,0,0.3,0.3,0.16,0.7,0.7,2020-04-27 08:41:12,27
667,Tomá Vaclík,Sevilla ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-07-14 02:07:02,96
668,Mathieu Valbuena,Olympiacos ,0,5,2,40.0,1.76,0.7,0.0,0.0,14.2,0,0,0,0.8,0.8,0.15,-0.8,-0.8,2020-09-11 06:59:47,71
669,Albert Vallci,RB Salzburg,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-02-02 18:19:15,3
670,Federico Valverde,Real Madrid,0,4,0,0.0,1.33,0.0,0.0,,21.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,2020-02-22 04:16:58,11
671,Thomas Van den Keybus,Club Brugge,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-05-06 10:15:26,25
672,Ignace Van Der Brempt,Club Brugge,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-10-15 13:19:00,56
673,Hans Vanaken,Club Brugge,3,6,3,50.0,1.02,0.51,0.17,0.33,15.6,0,2,2,2.0,0.5,0.08,1.0,0.5,2020-10-09 22:07:45,60
674,Raphaël Varane,Real Madrid,0,2,1,50.0,0.33,0.17,0.0,0.0,7.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,2020-03-08 06:49:22,18
